
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 25-Apr-2019 17:41:52 as follows:

raxml-ng --bootstrap --msa Tolkien_concat_align_protossOG.txt --outgroup Protoss_OG --model MULTI6_MK --bs-trees 1000 --prefix BootstrapConcat_OG_P --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_concat_align_protossOG.txt
[00:00:00] Loaded alignment with 33 taxa and 70 sites

Alignment comprises 1 partitions and 62 patterns

Partition 0: noname
Model: MULTI6_MK
Alignment sites / patterns: 70 / 62
Gaps: 0.00 %
Invariant sites: 1.43 %


NOTE: Binary MSA file created: BootstrapConcat_OG_P.raxml.rba

[00:00:00] Data distribution: max. partitions/sites/weight per thread: 1 / 62 / 372
[00:00:00] Starting bootstrapping analysis with 1000 replicates.

[00:00:00] Bootstrap tree #1, logLikelihood: -1893.176070
[00:00:01] Bootstrap tree #2, logLikelihood: -2098.438080
[00:00:02] Bootstrap tree #3, logLikelihood: -2125.501314
[00:00:03] Bootstrap tree #4, logLikelihood: -2174.624696
[00:00:04] Bootstrap tree #5, logLikelihood: -1914.777643
[00:00:04] Bootstrap tree #6, logLikelihood: -1884.629605
[00:00:05] Bootstrap tree #7, logLikelihood: -2238.286607
[00:00:06] Bootstrap tree #8, logLikelihood: -2033.460170
[00:00:07] Bootstrap tree #9, logLikelihood: -2009.049752
[00:00:08] Bootstrap tree #10, logLikelihood: -2064.815403
[00:00:09] Bootstrap tree #11, logLikelihood: -1956.703399
[00:00:10] Bootstrap tree #12, logLikelihood: -2084.517687
[00:00:11] Bootstrap tree #13, logLikelihood: -1923.287178
[00:00:11] Bootstrap tree #14, logLikelihood: -2051.874280
[00:00:12] Bootstrap tree #15, logLikelihood: -2062.223858
[00:00:13] Bootstrap tree #16, logLikelihood: -1946.113548
[00:00:14] Bootstrap tree #17, logLikelihood: -2205.895531
[00:00:15] Bootstrap tree #18, logLikelihood: -2132.736841
[00:00:16] Bootstrap tree #19, logLikelihood: -2005.200671
[00:00:17] Bootstrap tree #20, logLikelihood: -2147.719063
[00:00:18] Bootstrap tree #21, logLikelihood: -2074.098358
[00:00:19] Bootstrap tree #22, logLikelihood: -2090.200678
[00:00:20] Bootstrap tree #23, logLikelihood: -1912.139477
[00:00:21] Bootstrap tree #24, logLikelihood: -2020.472414
[00:00:22] Bootstrap tree #25, logLikelihood: -1963.520855
[00:00:23] Bootstrap tree #26, logLikelihood: -2025.820019
[00:00:24] Bootstrap tree #27, logLikelihood: -1975.300841
[00:00:24] Bootstrap tree #28, logLikelihood: -2072.441485
[00:00:25] Bootstrap tree #29, logLikelihood: -1964.427953
[00:00:26] Bootstrap tree #30, logLikelihood: -2123.614740
[00:00:26] Bootstrap tree #31, logLikelihood: -2144.400157
[00:00:27] Bootstrap tree #32, logLikelihood: -2098.615220
[00:00:28] Bootstrap tree #33, logLikelihood: -2191.046942
[00:00:29] Bootstrap tree #34, logLikelihood: -1977.487502
[00:00:29] Bootstrap tree #35, logLikelihood: -2130.423100
[00:00:30] Bootstrap tree #36, logLikelihood: -2137.267298
[00:00:31] Bootstrap tree #37, logLikelihood: -2085.208943
[00:00:31] Bootstrap tree #38, logLikelihood: -1935.064603
[00:00:32] Bootstrap tree #39, logLikelihood: -2147.091274
[00:00:33] Bootstrap tree #40, logLikelihood: -2154.038413
[00:00:34] Bootstrap tree #41, logLikelihood: -1998.316088
[00:00:35] Bootstrap tree #42, logLikelihood: -2092.673922
[00:00:36] Bootstrap tree #43, logLikelihood: -2245.077139
[00:00:36] Bootstrap tree #44, logLikelihood: -2098.109133
[00:00:37] Bootstrap tree #45, logLikelihood: -2041.176482
[00:00:38] Bootstrap tree #46, logLikelihood: -2176.234505
[00:00:39] Bootstrap tree #47, logLikelihood: -2066.754597
[00:00:40] Bootstrap tree #48, logLikelihood: -2038.661262
[00:00:41] Bootstrap tree #49, logLikelihood: -2221.260201
[00:00:42] Bootstrap tree #50, logLikelihood: -1989.073484
[00:00:43] Bootstrap tree #51, logLikelihood: -1943.768010
[00:00:44] Bootstrap tree #52, logLikelihood: -2224.319458
[00:00:45] Bootstrap tree #53, logLikelihood: -2015.591802
[00:00:46] Bootstrap tree #54, logLikelihood: -1803.892735
[00:00:46] Bootstrap tree #55, logLikelihood: -2043.282599
[00:00:48] Bootstrap tree #56, logLikelihood: -2103.537898
[00:00:48] Bootstrap tree #57, logLikelihood: -1947.908964
[00:00:49] Bootstrap tree #58, logLikelihood: -2211.137106
[00:00:50] Bootstrap tree #59, logLikelihood: -2020.693777
[00:00:51] Bootstrap tree #60, logLikelihood: -2030.247451
[00:00:52] Bootstrap tree #61, logLikelihood: -1990.861718
[00:00:54] Bootstrap tree #62, logLikelihood: -2082.134356
[00:00:54] Bootstrap tree #63, logLikelihood: -2079.765862
[00:00:55] Bootstrap tree #64, logLikelihood: -2176.894547
[00:00:56] Bootstrap tree #65, logLikelihood: -2095.305753
[00:00:57] Bootstrap tree #66, logLikelihood: -2080.586327
[00:00:57] Bootstrap tree #67, logLikelihood: -2156.466442
[00:00:59] Bootstrap tree #68, logLikelihood: -1999.359409
[00:01:00] Bootstrap tree #69, logLikelihood: -2019.579874
[00:01:01] Bootstrap tree #70, logLikelihood: -1930.299316
[00:01:02] Bootstrap tree #71, logLikelihood: -2243.747494
[00:01:03] Bootstrap tree #72, logLikelihood: -2090.352933
[00:01:04] Bootstrap tree #73, logLikelihood: -1976.079412
[00:01:04] Bootstrap tree #74, logLikelihood: -2097.947261
[00:01:06] Bootstrap tree #75, logLikelihood: -1971.849993
[00:01:07] Bootstrap tree #76, logLikelihood: -2076.571046
[00:01:08] Bootstrap tree #77, logLikelihood: -2096.796583
[00:01:09] Bootstrap tree #78, logLikelihood: -2036.466968
[00:01:09] Bootstrap tree #79, logLikelihood: -2096.019136
[00:01:10] Bootstrap tree #80, logLikelihood: -2201.684421
