
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 18-Apr-2019 05:03:38 as follows:

raxml-ng --bootstrap --msa Tolkien_arche_align_zergOG.txt --outgroup Zerg_OG --model MULTI7_MK --bs-trees 1000 --prefix BootstrapArcheZergOG --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_arche_align_zergOG.txt
[00:00:00] Loaded alignment with 33 taxa and 18 sites

Alignment comprises 1 partitions and 18 patterns

Partition 0: noname
Model: MULTI7_MK
Alignment sites / patterns: 18 / 18
Gaps: 0.00 %
Invariant sites: 0.00 %


NOTE: Binary MSA file created: BootstrapArcheZergOG.raxml.rba

[00:00:00] Data distribution: max. partitions/sites/weight per thread: 1 / 18 / 126
[00:00:00] Starting bootstrapping analysis with 1000 replicates.

[00:00:00] Bootstrap tree #1, logLikelihood: -570.304296
[00:00:01] Bootstrap tree #2, logLikelihood: -584.751973
[00:00:01] Bootstrap tree #3, logLikelihood: -530.542144
[00:00:02] Bootstrap tree #4, logLikelihood: -512.916996
[00:00:02] Bootstrap tree #5, logLikelihood: -574.785081
[00:00:03] Bootstrap tree #6, logLikelihood: -512.660493
[00:00:03] Bootstrap tree #7, logLikelihood: -610.569676
[00:00:04] Bootstrap tree #8, logLikelihood: -482.449728
[00:00:04] Bootstrap tree #9, logLikelihood: -552.825517
[00:00:05] Bootstrap tree #10, logLikelihood: -562.766710
[00:00:05] Bootstrap tree #11, logLikelihood: -563.821890
[00:00:06] Bootstrap tree #12, logLikelihood: -548.619003
[00:00:06] Bootstrap tree #13, logLikelihood: -553.083085
[00:00:07] Bootstrap tree #14, logLikelihood: -606.625404
[00:00:07] Bootstrap tree #15, logLikelihood: -542.733041
[00:00:08] Bootstrap tree #16, logLikelihood: -590.380184
[00:00:08] Bootstrap tree #17, logLikelihood: -539.518630
[00:00:09] Bootstrap tree #18, logLikelihood: -548.175493
[00:00:09] Bootstrap tree #19, logLikelihood: -589.483026
[00:00:10] Bootstrap tree #20, logLikelihood: -586.175400
[00:00:11] Bootstrap tree #21, logLikelihood: -593.249138
[00:00:12] Bootstrap tree #22, logLikelihood: -568.895651
[00:00:12] Bootstrap tree #23, logLikelihood: -633.427477
[00:00:13] Bootstrap tree #24, logLikelihood: -554.323012
[00:00:14] Bootstrap tree #25, logLikelihood: -613.427222
[00:00:14] Bootstrap tree #26, logLikelihood: -608.296580
[00:00:15] Bootstrap tree #27, logLikelihood: -632.097970
[00:00:16] Bootstrap tree #28, logLikelihood: -595.321558
[00:00:17] Bootstrap tree #29, logLikelihood: -581.238026
[00:00:17] Bootstrap tree #30, logLikelihood: -610.535069
[00:00:18] Bootstrap tree #31, logLikelihood: -577.031680
[00:00:18] Bootstrap tree #32, logLikelihood: -562.591590
[00:00:19] Bootstrap tree #33, logLikelihood: -597.526397
[00:00:19] Bootstrap tree #34, logLikelihood: -578.023686
[00:00:20] Bootstrap tree #35, logLikelihood: -600.615842
[00:00:20] Bootstrap tree #36, logLikelihood: -557.999670
[00:00:21] Bootstrap tree #37, logLikelihood: -604.223448
[00:00:21] Bootstrap tree #38, logLikelihood: -571.686296
[00:00:22] Bootstrap tree #39, logLikelihood: -592.396510
[00:00:23] Bootstrap tree #40, logLikelihood: -607.921605
[00:00:23] Bootstrap tree #41, logLikelihood: -629.858102
[00:00:24] Bootstrap tree #42, logLikelihood: -597.063344
[00:00:25] Bootstrap tree #43, logLikelihood: -590.733445
[00:00:25] Bootstrap tree #44, logLikelihood: -569.083712
[00:00:26] Bootstrap tree #45, logLikelihood: -591.698132
[00:00:26] Bootstrap tree #46, logLikelihood: -570.402938
[00:00:27] Bootstrap tree #47, logLikelihood: -610.607907
[00:00:27] Bootstrap tree #48, logLikelihood: -618.190921
[00:00:28] Bootstrap tree #49, logLikelihood: -652.054715
[00:00:28] Bootstrap tree #50, logLikelihood: -646.089538
[00:00:29] Bootstrap tree #51, logLikelihood: -581.545689
[00:00:29] Bootstrap tree #52, logLikelihood: -623.578781
[00:00:30] Bootstrap tree #53, logLikelihood: -614.571863
[00:00:30] Bootstrap tree #54, logLikelihood: -594.123329
[00:00:31] Bootstrap tree #55, logLikelihood: -621.179118
[00:00:32] Bootstrap tree #56, logLikelihood: -644.787506
[00:00:32] Bootstrap tree #57, logLikelihood: -553.121122
[00:00:33] Bootstrap tree #58, logLikelihood: -603.486946
[00:00:33] Bootstrap tree #59, logLikelihood: -601.962614
[00:00:34] Bootstrap tree #60, logLikelihood: -626.140956
[00:00:35] Bootstrap tree #61, logLikelihood: -579.276813
[00:00:35] Bootstrap tree #62, logLikelihood: -541.725966
[00:00:36] Bootstrap tree #63, logLikelihood: -628.524864
[00:00:37] Bootstrap tree #64, logLikelihood: -617.479813
[00:00:38] Bootstrap tree #65, logLikelihood: -606.462522
[00:00:38] Bootstrap tree #66, logLikelihood: -567.323380
[00:00:39] Bootstrap tree #67, logLikelihood: -609.762354
[00:00:39] Bootstrap tree #68, logLikelihood: -561.145832
[00:00:40] Bootstrap tree #69, logLikelihood: -581.195140
[00:00:40] Bootstrap tree #70, logLikelihood: -604.537805
[00:00:41] Bootstrap tree #71, logLikelihood: -571.717134
[00:00:41] Bootstrap tree #72, logLikelihood: -557.984369
[00:00:42] Bootstrap tree #73, logLikelihood: -672.546653
[00:00:43] Bootstrap tree #74, logLikelihood: -618.350633
[00:00:44] Bootstrap tree #75, logLikelihood: -590.188772
[00:00:44] Bootstrap tree #76, logLikelihood: -597.295177
[00:00:45] Bootstrap tree #77, logLikelihood: -575.496351
[00:00:46] Bootstrap tree #78, logLikelihood: -577.603157
[00:00:46] Bootstrap tree #79, logLikelihood: -602.124525
[00:00:47] Bootstrap tree #80, logLikelihood: -526.166026
[00:00:47] Bootstrap tree #81, logLikelihood: -605.154267
[00:00:48] Bootstrap tree #82, logLikelihood: -561.625361
[00:00:49] Bootstrap tree #83, logLikelihood: -602.756259
[00:00:49] Bootstrap tree #84, logLikelihood: -550.469655
[00:00:50] Bootstrap tree #85, logLikelihood: -596.160534
[00:00:50] Bootstrap tree #86, logLikelihood: -595.709335
[00:00:51] Bootstrap tree #87, logLikelihood: -535.970390
[00:00:51] Bootstrap tree #88, logLikelihood: -598.252556
[00:00:52] Bootstrap tree #89, logLikelihood: -647.593252
