
RAxML-NG v. 0.8.0 BETA released on 11.01.2019 by The Exelixis Lab.
Authors: Alexey Kozlov, Alexandros Stamatakis, Diego Darriba, Tomas Flouri, Benoit Morel.
Latest version: https://github.com/amkozlov/raxml-ng
Questions/problems/suggestions? Please visit: https://groups.google.com/forum/#!forum/raxml

WARNING: This is a BETA release, please use at your own risk!

RAxML-NG was called at 18-Apr-2019 03:44:37 as follows:

raxml-ng --bootstrap --msa Tolkien_concat_align.txt --outgroup Zerg_OG,Tyranids_OG,Xenomorphs_OG --model MULTI8_MK --bs-trees 1000 --prefix BootstrapConcat --threads 1 --seed 2

Analysis options:
  run mode: Bootstrapping
  start tree(s): 
  bootstrap replicates: 1000
  random seed: 2
  tip-inner: OFF
  pattern compression: ON
  per-rate scalers: OFF
  site repeats: ON
  branch lengths: proportional (ML estimate, algorithm: NR-FAST)
  SIMD kernels: AVX
  parallelization: NONE/sequential

[00:00:00] Reading alignment from file: Tolkien_concat_align.txt
[00:00:00] Loaded alignment with 36 taxa and 70 sites

Alignment comprises 1 partitions and 68 patterns

Partition 0: noname
Model: MULTI8_MK
Alignment sites / patterns: 70 / 68
Gaps: 0.00 %
Invariant sites: 0.00 %


NOTE: Binary MSA file created: BootstrapConcat.raxml.rba

[00:00:00] Data distribution: max. partitions/sites/weight per thread: 1 / 68 / 544
[00:00:00] Starting bootstrapping analysis with 1000 replicates.

[00:00:01] Bootstrap tree #1, logLikelihood: -2236.520554
[00:00:02] Bootstrap tree #2, logLikelihood: -2522.483662
[00:00:03] Bootstrap tree #3, logLikelihood: -2523.169513
[00:00:04] Bootstrap tree #4, logLikelihood: -2590.202803
[00:00:05] Bootstrap tree #5, logLikelihood: -2283.370676
[00:00:07] Bootstrap tree #6, logLikelihood: -2259.143000
[00:00:08] Bootstrap tree #7, logLikelihood: -2640.911365
[00:00:10] Bootstrap tree #8, logLikelihood: -2403.537150
[00:00:11] Bootstrap tree #9, logLikelihood: -2377.000855
[00:00:12] Bootstrap tree #10, logLikelihood: -2454.384657
[00:00:13] Bootstrap tree #11, logLikelihood: -2291.004786
[00:00:15] Bootstrap tree #12, logLikelihood: -2443.743859
[00:00:16] Bootstrap tree #13, logLikelihood: -2277.360689
[00:00:17] Bootstrap tree #14, logLikelihood: -2434.559986
[00:00:18] Bootstrap tree #15, logLikelihood: -2457.917906
[00:00:20] Bootstrap tree #16, logLikelihood: -2303.989617
[00:00:21] Bootstrap tree #17, logLikelihood: -2604.732101
[00:00:22] Bootstrap tree #18, logLikelihood: -2550.376493
[00:00:23] Bootstrap tree #19, logLikelihood: -2340.210897
[00:00:24] Bootstrap tree #20, logLikelihood: -2557.585402
[00:00:26] Bootstrap tree #21, logLikelihood: -2477.771621
