36 70
Humans_LotR 3221111111111211113112222212212132432223231322422132131312241311221221
Elves_LotR 4111111111111212211111313321344111221311412113511121114143322431111312
Dwarves_LotR 1321111111111211113111132233223122331232321222422132123223312111131333
Orcs_LotR 1231111111112212212111432113222113143214141321111314322411144111212121
Humans_FR 3221111111111211113112222222215132332223232223422232131323231232221221
Elves_FR 2111111111111212211111313221325122321222322323412133113232331231221211
Drow_FR 2141111111111212211112213321325121233322332313413321313223334231233323
Dwarves_FR 1321111111111211113112132233322122332222322222322132113223321231231333
Orcs_FR 3431111111112112213111432113112112233212141321111311322411144212213111
Humans_ES 3321111111111211113112222222215132332222232223422222231312231232221221
Altmer_ES 4251111111111212212111323322335122322211222223412132213223321232221311
Dunmer_ES 3241111111111212212112213221335121233211232313412221313223331232221211
Dwemer_ES 3241111111111212213112212421225122221221412122521141115124325132211433
Orsimer_ES 4331111111112112213112132233225132333312332313322222222212231232211111
Humans_WC 3321111111111211113112222222215132432223232323422232131313231232221321
Night_Elves_WC 5241111111211212413112323322434121321311213112411121113242321231111212
High_Elves_WC 3111111111211212312112313321334121322211323222412241122222332132211412
Dwarves_WC 1321111111111211113112132233225132432232422222422143122323322131131433
Orcs_WC 4431111111112112213112132223215132333323233323322222131322331232221221
Humans_WH 3221111111111211113112222212212132232223232323422232231312241333221221
High_Elves_WH 4111111111111212211111313321334121232311313223511121113123322433211321
Dark_Elves_WH 4141111111111212211111213321334121233323343312334433412413344233233321
Dwarves_WH 1321111111111211113112132233222132232322412222422131112223322133221433
Orcs_WH 4431111111112112221123442113132213143513141332135314521411314133312111
Humans_40K 3221111111111211113112211321211522133124342324312231331314241333232444
Eldar_40K 4111111111111212211111323432431411132411414222511121314115322433212544
Dark_Eldar_40K 4141111111111212211111223432431411143422444312434443413415344233233544
Squats_40K 1321111111111211113112122322221522132223322223422131235114225133232433
Orks_40K 4431111111112112221123442113132213143513241332135314521413314133312114
Humans_W 3221111111111211113112222222215132332223231222423222231313231332223221
Elves_W 2111111111111212211111313221325132321221321222313122213222232432221112
Dwarves_W 1321111111111211113112121222222132432222321222422122213222232132221211
Protoss_OG 5141212121223223521212233422331422232312413232511131111415321333221544
Zerg_OG 6572233234212223521223444134341214143524151341135554521411433343344624
Tyranids_OG 6572233334212223521223444134351214143524151341135554521411414444344624
Xenomorphs_OG 5162213121312223521223444123451113143514151331135554521411313143344624
